short_question,short_answer
back pain for a month now ct scan shows no stone nothing seems to help,spondylosis disc prolapse spine infections listhesis are the causes that need to be ruled out these symptoms are not related to any abdominal pathology consult a orthopaedic surgeon or a spine specialist and get the necessary investigations done
stomach swollen and hair loss and lump on side of neck and extremly tired but no chance of pregnacy help please also urinating a lot and thirsty and itch palms,possibly hypothyroid look up conditions on here and see if they relate that would be my best guess without knowing more it can make you feel really bad if left untreated
is it better to apply heat or cold to sore muscles after stenuous exercise,i am studying health science to later move into physical therapy and what i have learned is that you warm up and cool down before your activity use heat after use ice
i have parathyroids on my aortic arch can this cause a heart attack,interestingly yes you can use breast milk for diaper rash although i am not aware of any studies that prove it works many women claim it does it certainly can not hurt to try my concern is when you say the rash is all over  i hope you mean all over the baby is bottom if your baby is having a rash above the waist you should seek medical treatment with diaper rash prevention is better than treatment remember diaper rashes thrive in moist environments it is very important that you thoroughly clean and dry your baby is genitals groin and bottom with each diaper change and never leave your baby soaking in wet diapers change the diapers regularly instead of commercial baby wipes try cleaning with a soft cloth and plain water to make sure your baby is not having an allergic skin reaction to something in the wipes wishing you and your baby well
cause of elbow pain  about a week ago i hit my elbow on a piece of furniture ever since my lower elbow causes me pain whenever i fully extend my arm pick up an item more than probably 5 pounds or if i apply pressure to a bent arm doing a pushup for example i am trying to get in shape for the military and would like to continue working out as soon as possible thanks in advance,do an x ray do u have any pain or limitation of movement or redness hotness swelling or fever we need to make sure about the diagnosis first
i am 26 and my husband 34 plan 4r kid nw i had period this month 15 oct when should i have sex to get pergant pls help its gonna be one year so this month we planned for kid my periods are regular every month i get 14 or 15 or 16 one day before or after or some time same day how should i have sex and from when to when i wanna get pergant this month so pls help me,most helpful answer you first need to figure out when you are ovulating then time having sex to that most women ovulate about 14 days before their period starts so if you are pretty regular you can count backward from that it is generally best to have sex a day or two before you think you will ovulate if you really want to know when you ovulate you can buy a kit that will tell you you can also try a basil body temperature thermometer that tracks how your body temp changes at different points in your cycle this slideshow has some helpful information good luck you are most likely to get pregnant when you have sex as close to ovulation as possible it is tough for many women to know when they are ovulating particularly if their periods are not very regular below is a link to webmd is ovulation calculator that can help you boost your chances of getting pregnant by determining when you are most fertile ovulation calculator
what are the gallbladder and gallstones,the gallbladder is a small sac found just under the liver it stores bile made by the liver bile helps you digest fats bile moves from the gallbladder to the small intestine through tubes called the cystic duct and common bile duct gallstones are made from cholesterol and other things found in the bile they can be smaller than a grain of sand or as large as a golf ball most gallstones do not cause problems but if they block a duct they usually need treatment webmd medical reference from healthwise this information is not intended to replace the advice of a doctor healthwise disclaims any liability for the decisions you make based on this information © 1995 2011 healthwise incorporated healthwise healthwise for every health decision and the healthwise logo are trademarks of healthwise incorporated
is there evidence that chili pepper can cause hives  i seem to get hives when ever i eat spicy food i am trying to discover what is causing them i have had them for 9 weeks,lay off for a few days and i am sure your volume will return most ejaculate is semen not sperm created in the prostate gland twice a day can be a bit much for this overworked gland to recover if you are still having burning you will need to see your medical provider but as a man it is not very likely that you have a uti but you could have prostatitis this is just a guess however since making that call requires an examination your cold has nothing to do with this issue
can unprotected sex for a minute cause hiv,the chance of transmission of human immunodeficiency virus hiv by single unprotected intercourse with a hiv positive person is 1200 to 11000 it is very low she may be negative so she might have asked it probably the test done was antibodies tests it is considered as conclusive after three months you can go for hiv 1 and 2 rna pcr polymerase chain reaction at this stage to allay your anxiety the symptoms are not specific and do not suggest hiv it may be due to any simple respiratory infection you can get it examined by an ent specialist to relieve your anxiety about throat infection for further information consult a hiv aids specialist online   > <link>
since i had brain surgery before is it bad for my health if my boyfriend pulls my hair roughly  it is been 12 years since i had brain surgery as a child all i remember is that until my hair grew back i had a scar on the back of head where they had removed a piece of my skull during the surgery now my boyfriend grabbed all of my hair and pulled it while kissing me which i loved but afterwards i noticed something did not feel right in that area in the back of my head for the next couple of days is it possible that my previous brain surgery makes hair pulling actually unhealthy,your scalp is really not connected to your brain but your scalp is rich in sensory nerves so forceful hair pulling may result in some residual discomfort as you have experienced brain surgery 12 years ago should not preclude playful hair pulling but if this act causes you pain afterwards it should be avoided no matter how much you loved it
can ny state medicare beneficiaries use the marketplace to compare and enroll in secondary health insurance plans,yes these two drugs are compatible at the recommended dosages
diagnosed with uti hiv positive hiv negative 6 years of anxiety what is wrong with me,hi you seem to be undergoing a lot of variations in your body primarily doesnt feel that anything is wrong with you but i suggest you should get a gen 4 pcrrna test done to confirm hiv get other blood test for stds as well done thanks
i am 30 year old male i having breast tumor around 10 years i am 30 year old male i having breast tumor around 10 years this tumor inside in my nipple area i had tumor in both breast when i press it it cause little bit pain my left breast have 2 or 3 small tumor non other symptoms i had what is this this is possible to breast cancer what treatment i need,i am very sorry but without a hands on examination and a detailed medical history it would not be possible to blindly offer you a definite diagnosis determine if this mass was cancer and suggest a treatment in order for you to be properly diagnosed i would suggest that you see a surgeon someone who can examine this mass perhaps do a biopsy and address this ten year old problem
weight loss tips for obese adult i am 29 56 275lbs i have been sticking to a 1500 calorie diet and exercising 5 timeweek for 45 minsday for a month i have been gaining weight on the scale and can not see any change in my body what are the best exercises for someone that is obese do you have any suggestions on a good website that can provide me with a meal plan that i can alter as most meal plans have food i do not eat is there any diet pills or medication that are safe and effective am i exercising too little,your body prob got use to the workout that happened to me and i workout with my dad for a while i noticed i was not pushing myself and doing certain things right maybe find a trainer and ask them to show you some pointers that helped me a lot i would not suggest diet pills i do not know why i am against those but i have not found any that does not have a lot of caffeine in it i have read some labels say not to consume any other caffeine from coffee or tea i am a huge coffee drinker maybe you need to cut more things out of your diet maybe you did not take enough things out for instance i was a fast food junky bc i am always busy and i had to stop eating out and that helped me lose more hopefully that helped i am not a professional just speaking based off my personal experience
if a man is testicles are uneven can there be something wrong  my bf had a physical for work and the one doing the exam suggested my bf get an examination of his testicles because one hangs way lower than the other one he is not one to see a dr unless it is serious i told him i would google it and see what comes up he has a large sac and it does get in the way he complains about it but is there a real concern for the position of the actual sacs as a side note he rarely ejaculates and has always had this issue,researchers are not just looking at biological and neurological risk factors for this nerve pain after shingles robert h dworkin phd a professor in the department of anesthesiology at the university of rochester medical center in rochester n y was recently a co author of a study looking at psychological risk factors too the results were published in the journal of pain in 2005 it certainly looks like psychological stress can be a potent risk factor for phn  dworkin tells webmd the study showed that people with shingles who went on to develop phn were more likely to have had symptoms of personality disorders hypochondria intense worry about their disease and other bodily complaints dworkin says previous studies have already shown a connection between stress and shingles development one study even found that the risk of developing phn was higher in people who were living alone when they developed shingles than people living with others  dworkin says perhaps indicating that social isolation increases the risks of phn
could i be pregnant or have an std  soo about 5 days ago i was drinking for 2 days straight and the next morning i woke up to diarrhea and started vomiting and had a cold chills i literally happened all day until my stomach was empty i even threw up some mucus like substance after that day was over i felt sick with no appetite for two days  and now i am feeling cramps were i think my ovaries are located also my periods are never on tract but past 2 months they started on first if the month and i hvnt had 1 yet and its the 18th,hi well being on a two day bender not a really bright idea was it well this could be the side effect of that you ask am i pregnant of an std there are tests for both pregnancy either an hpt or go see your doctor as for the std try an stdgum clinic and get some tests done see help for both good luck
can flagyl be used to treat kidney infections,no this is not an appropriate antibiotic for a kidney infection please see a medical provider so that you can be properly examined and diagnosed
is hepatitis c contagious,no hives are not contagious hives or urticaria are a rash of pink or red raised spots that itch hives may be due to an allergic reaction an infection or an unknown cause they generally appear within minutes and disappear within a few hours most people experience the acute form of hives which goes away on its own a few people experience chronic urticaria hives that occur on most days of the week for at least six weeks infections by viruses bacteria or parasites can occasionally cause hives this is more common in children than adults even when hives are due to infection the hives themselves are not contagious no hives are not contagious hives can appear from a allergic reaction  eg foods injections etc  allergy medication such as bendryl can take the terrible itch away and dense up the color if one spot goes away another cluster can form if you have chest tightness a fever or trouble swallowing get to the hospital hives can last for days months or even years no they are not hives are normally just a reaction to something that that particular person is allergic to but if they go away and come back or stay for a long time then go to the hospital to ave is checked out some people just get hives and take medication for it but it is not some rare condition or decease just a few bumps or a small rash that is also normally very itchy
how is psoriatic arthritis diagnosed,i think you may need an evaluation by your doc and maybe a referral to a sleep medicine specialist sleep disturbances related to anxiety can often be treated quite effectively with some cognitive behavioral interventions there is also a need to consider the environment where you sleep and how you can best improve it take a look at sleep hygiene on the internet and see if there is something you can do which is self help related
i already have health insurance do i need to do anything in regards to the affordable care act,if you have insurance through your employer medicaid or medicare you likely need take no action at all if you buy insurance on your own it is a good idea to at least shop around to make sure there is not another plan better suited for you
what diagnosed deals with headache vomiting nausea abdmonial pain,those are all symptoms of a migraine if you have not been diagnosed with them see a neurologist
i have moles on my face and i would love to have them removed will they leave scars,i have chronic fatigue syndrome and exercising makes me worse it is called exercise malaise i do not know if that is what you have but i would ask your doctor
what anesthesia is given for a colonoscopy,not full or complete anesthesia but you will be well sedated so there should not be much discomfort what a person is given depends on the specialist doing this procedure and of course the medical history of the person on the receiving end of the colonoscope
does beta carotene help with infant teething,baby  your fetus about the size of a large lime measures about 1 75 to 2 4 inches from crown to rump and weighs about three tenths of an ounce about now the rapid swooshing noises of the heartbeat can be heard through a doppler sound wave stethoscope fingernails and external genitalia are showing distinguishing characteristics and the baby is swallowing and kicking although you still will not feel it mom to be  your uterus is almost big enough to fill your pelvis and may be felt in your lower abdomen you may also experience changes in hair skin fingernails or toenails tip of the week  do not ignore your dental hygiene during pregnancy floss and brush regularly and make sure you see your dentist at least once in these nine months your gums may bleed more because of hormones during pregnancy and because of increased blood volume
i had black diarrhea last p m now tarry light headed and short of breath when standing d face gets pale  i did take ibuprofen occasionally for knee pain past couple weeks i ate several choc cookie night before and choc donuts next day a stomach bug has gone through my family,maybe many flu strains are genetically close so past infections past flu vaccines and even this year is strain may still offer some protection this year is flu vaccine is considered to be a good match not true in all previous years vaccine so there has been very good protection against the true lab confirmed cases of influenza
i took a test and it come up + but my boobes dont hurt,i am assuming you are talking about a positive pregnancy test correct breast tenderness is not a 100 certainty in early pregnancy so they do not have to be sore to validate this test i suggest that you take the home test seriously ask your doctor for a more sensitive lab test if you are not convinced
stray dog licked hand do i need a shot hello  i was sitting in my car talking on the phone with my window open when i looked out the door i saw a stray dog sniffing for food near my door i simultaneously felt a burning sensation on broken skin on one of my fingers which was holding the phone now i am in doubt that did that stray dog licked my hand while i was talking on the phone and looking the other way if so than should i get a shot please help me doctor i am really worried thanks p s this happened 13 days back,it seems that your treatment has not been successfully eliminating the h pylori bacteria this is why you need another test to be done then try alkaline diet breathing exercise yoga
i have started suffering burning muscle pain and achy joint pain i have been fatigued experienced brain fog,hi this seems to be seronegative arthropathy with deficiency of carnitine causing burning muscle pains a whole body dexa scan will be helpful to see the status of bones few tests related to joint arthritis need to be done to come to a diagnosis including ra test uric acid hlab27 consult a rheumatologist
are nyquill cold & flu compatible with benzonatate 100mg,cats and dogs are common cohabitants in the home most people tolerate exposure to these pets without symptoms but some develop allergies to them cat and dog allergies are triggered by an immune response to proteins in the animal is saliva urine and skin all cats and dogs have these allergens the best treatment is complete avoidance when this is not possible the next best thing is to keep the pet out of the bedroom to decrease exposure to the allergen
is it possible to contract anything from getting semen in an open wound,any bodily fluid that is secondarily infected has the potential of spreading an infection to an open wound semen can carry viruses for hepatitis hiv etc
chemotherapy and common cold what antibiotics can you take if the patient is also on coumadin,hi antibiotics do not work for colds you just need some good cheese and onion sandwich is really good for a cold for that extra kick chuck in some sliced garlic have one 3 times a day as they say feed a cold starve a fever but do not forget the chicken soup now a nice old jewish lady they make very good chicken soup good luck
how do l deal with pain from gall bladder infection or gallstones,gallbladder was removed years ago now told i may have stones in bile duct is this possible
i have something broke out all over me what could this be,urticaria seek dermatological assistance
how would my sex parter get trichomoniasis would my parter have to had sex with someone else to give it to me when i know that i have not been with ant\yone else,trichomoniasis is sexually transmitted parasite but a person can have it a long time and not be detected clearly someone gave it to you your current partner or a previous partner it not spontaneously occur
how can i help my baby is eczema at home,be sure baby is nails are trimmed often and then take the edge off of them with a file if you can some parents also slip scratch mittens onto their little one is hands others try long socks tucked in under a long sleeved shirt so they are harder for baby to remove other things you can do to treat baby is eczema at home include bathe baby for no more than 10 minutes in warm water hot water can strip skin of its natural protective oils use mild unscented body and laundry soaps use soap only where baby may be dirty such as the genitals and hands and feet simply rinse off the rest of baby is body pat baby is skin dry do not rub apply a moisturizer while baby is skin is wet oatmeal soaking products added to baby is tub may make your little one is skin less itchy talk to your doctor
have rumbling like reving motor both ears can not hear bass tone only treble bp is good no other symptoms my ent does not have a clue cleaned both ears did hearing test & i do have some hearing loss,medicare benefits are what are offered to people who are eligible for ssdi not medicaid you should have been automatically signed up for both medicare parts a and b i recommend you consult your local social security office to find out what is happening with your case
pain left side below the rib cage & above the hip bone hunger pains eating helps but still pain lots of gas age 61 pain for 6 months had colonoscopy before that no symptoms also had robotic hysterectomy 40 days ago drs thought ovarian cancer scare pain persists what is on the left side of the body below the rib cage & above hip bone actually hurts to lie on the left side like laying on a rocks    help,hi it seems somehow a yeast infection is being set up when you have condom free sex so it sounds like you prefer it that way so were do we go and what can you do ok you could read through these sites these are for getting rid of persistent yeast infections <link> <link> <link> just copy each one into google to open if you cant get them to open try without the first two bits being the <link> also google these garlic or sea salt or boric acid for yeast infection if its not showing in tests just do a blitz to see if it goes do hope something here helps good luck
fishy smelling penis ever since i started having sex with my current gf i notice a really bad smell from my penis there is no rash or sores or anything so i do not think it is an std but what could it be how can i get rid of it,are you uncircumcised my guess would be yes the smell is coming from inside of your foreskin and is caused by a bacteria buildup you need to clean it out a lot better wash with soap and water every single day then apply an antibacterial penis health creme do this religiously and you will be odor free down there as far as cremes go i use man1 man oil and it works great hope this info helps you
i am on amoxicillin 500 mg and i still ache all over and have the cold chills tired and i am weak,amoxicillin only helps of you have a susceptable bacteria it will not help all infections and will not help viral infections at all since i have no idea what you have or what your doctor is treating my suggestion is for you to contact the medical provider who is treating you    one who is familiar with you and your case    for advice
i am 27 i have pcos i have diabetes type 2 losing lots of blood,yes multi vitamins pills will indeed reduce hangover
brown bloody discharge am i pregnant  hi there  for the past few days i have noticed a brown bloody discharge on my underpants and when i wipe i am on birth control and have been for over a year i have unprotected sex with my partner also i have skipped my past two periods but i am not due for my next period for another two weeks so i am just wondering what this is from am i pregnant your help is greatly appreciated,hi was not the idea of being on bc so you can do without condoms and enjoy unprotected sex have you done an hpt yet just to see if you are this spotting could be from the bc pills have you changed recently to another brand this could be what is behind your problem and hormones could be why you have skipped a couple of periods but please see your doctor over this may be something else behind it hope this helps you good luck
i had unprotected oral sex and she said she was clean next day felt a little sick please help as soon as possible hello the other day i had unprotected oral sex and she said she was 100 clean the next day i woke up and my tongue was slightly white i had a sore throat trouble swallowing food a slight fever and a tight feeling in my chest additionally i used a tongue cleaner and my tongue bled a little if you can let me know whats wrong as soon as possible that would be great i am going to a walk in clinic tomorrow to see what their opinion is,hi the answer could be yes it works like this some women can only get pregnant on the two fertile days of the month for others anytime even having unprotected sex during there period if you do not want to get pregnant then get on bc or use condoms good luck
is it possible for strep throat to develop while you have whooping cough  i had a very persistent dry cough for almost a month i though i was starting to feel just slightly better when my throat swelled up and white patches appeared on my tonsils it took about 3 hours to develop completely it is extremely painful the cough is also still apparent i will go hours without coughing and all of a sudden have a coughing fit where it is hard to catch my breath,yes of course many cancers can lead to death or cause other fatal complications
ct revealed lesions in white brain matter doctor says not to worry about it i am 51 should i get a 2nd opinion  ct ordered cuz doc thought i may have suffered mini stroke says no vessels ruptured so not a problem are lesions common in someone my age who is healthy,most helpful answer well as the patient you are always entitled to additional opinions about test results so getting a second opinion in this case is a judgment call on your part a second doctor probably could simply look at the ct films so you could get another opinion without having to be re examined your insurance may not pay for this however that said i tend to trust my doctor if your doctor said not to worry about this then personally i would probably let it go white matter lesions can sound scary and indeed they can be indicative of various scary diseases such as multiple sclerosis or dementia but those diseases do not exist in a vacuum if you had multiple sclerosis for example you would have physical symptoms studies do show that white matter brain lesions may be a normal condition of aging i am not sure the subject has been studied enough to say positively but certainly brain scans of older people with no symptoms of disease have shown white matter lesions doc says do not worry so my advice is do not worry  hope this helps set your mind at ease i am 58 yrs old and i was diagnosed with ms 2 yrs ago i have lesions in the white matter both periventricular and subcortial dr order lumbar puch and found in my spinal fluid coating from nerve dymilation they said i have ms
does the pertussis vaccination make you contagious  i will be getting the tdap vaccine can i be contagious to my 5month old grandson we will be visiting them in 9 days,i am seriously hampered by the fact i cannot seeexamine you first hand your description is just too vague for me to take blind guess but there are many skin disorders common in the groin area one of the most common would be tinea cruris jock itch again this is not a diagnostic guess but just a consideration you may need to see a dermatologist when the time is convenient
what is the difference between health insurance plans offered on the exchanges and private plans off of the exchanges  are the off exchange plans now required to cover all of the same essential benefits as those under the aca,if this is a recent development my concern would be whether or not you are checking your sugars regularly and keeping them controlled it was traditionally thought that many people with type 2 diabetes would never develop diabetic neuropathy because it takes quite some time to come on however we are seeing more of this in patients with type 2 for various reasons including late diagnosis and people living longer with type 2 if this is a new symptom i would recommend you make an appointment with your health care provider he or she may want to make changes to your medication regimen meanwhile you should proactively take charge of your diet and exercise routines check your sugars regularly and avoid drinking alcohol if you are overweight work on getting your weight down that will help your type 2 overall by the way great job on checking your feet regularly foot ulcers are nothing to fool around with when you have diabetes take care
hiv test is non reactive is further testing required,yes
what are fertility problems,see a gyn for check up and follow up
what can cause bleeding during intercourse i have not had a period this month and i been bleeding only during intercour my tubes are tied so i can not be pregnant and i have never had this problem before,hi first question would be are you suffering from vaginal dryness are you getting into the menopause to the first question if its yes try using some extra lubrication coconut nut oil but extra virgin almond oil if you have no reaction to them olive oil or baby oil or there is water based lubricants and silicone based lubricants the water based tend to go dry or claggy during sex ok the second get to your doctor and get a blood test done for a hormone check your hormones will tell your whole story do hope something here helps good luck
i have had two children and am left with a wrinkly belly i am only 23 are thermage or microdermabrasion effective,see an ophthalmologist so that you can have your eye properly examined this is not something that can be addressed over the internet unfortunately since i do not know anything about you or where in the world that you live
can a urinary tract infection show an elevated white blood cell count on a blood test,yes it can especially if the urinary tract infection results in systemic symptoms like fever or involves the kidneys
i currently have health insurance through my employer to add my husband and child it would be over 1 000 a month since my employer only covers my portion of the insurance from what i have heard we would fall into the family penalty group and would not qualify for a subsidy since it would be considered affordable due to my insurance cost and not the family insurance cost are there any options for us and would we still be able to shop in the marketplace even with the family penalty,the best types of diet foods to snack on are high in water and fiber content such as vegetables add a protein source to your snacks such as fat free milk or yogurt to help you feel fuller longer
how far in does your lover have to go inside your vaginal area in order to recognize that you have lost your vaginity,why do you really care the presence of an intact hymen located at the vaginal opening is not a definitive sign of virginity since the hymen can spontaneously rupture from riding a bike riding a horse or using a tampon a male who is getting this close to your vagina does not likely have the medical skills to make any type of determination at this point men are more interested in just having sex you have the right to keep your secrets or share them that is your decision
can i take the following vitamin dosages together  26 years old hiv+ male fairly good health b12 @ 1 000 mcg b6 @ 100 mg c @ 2 000 mg d3 @ 2 000 iu i do not drink caffeine or any other form of stimulants 8 years now daily anti retroviral cocktail i do get headaches and joint pain sometimes take 600 to 800 mg of ibuprofen should i not mix this with these vitamins  please provide as much detail as possible to help me better understand my choices,both the virus can be spread in both ways
my son is fever is 102 & hes not eating but no others symptoms since its late & a weekend should i take him to e r  i have givien him motrin and cool cloth on head fever has not broke he is just laying on couch and since he is 2 and always boucing around he just not himself,based on the little information you have provided it does not sound like your son has a true emergency a fever of 102 is not dangerous and when you are sick you do not feel like eating you do not have to break a fever a fever causes absolutely no harm especially in children you just need to keep him comfortable statistically he may just have one of the hundreds of viral infections going around this time of year and the fever is his body is natural way of fighting it relax this will not be the last time you see this happen two year olds average 6 9 of these viral episodes with fever per year webmd answers is not intended for immediate responses or to diagnose or treat anyone so please keep that in mind when you post future questions using the er is always your option but a two year old with a 102 fever will not be high on the priority list at a busy er you may be better served at an urgent care facility less expensive and faster too
will drinking diet soda affect my concerta medication,a pregnancy test only reacts to the pregnancy hormone human chorionic gonadotropin hcg however if you are pregnant this hormone will not be present in your urine or blood until 13 to 16 days after ovulation the release of an egg which is around the time that you would normally get your period until this time has passed it will not be possible to see a positive result in a pregnancy test urine tests require a certain level of hcg to be present in order to indicate a positive pregnancy result blood tests are more sensitive because they can detect a smaller amount of hcg which means that pregnancies can be picked up earlier usually between six to eight days after ovulation you can have a blood test at your gp surgery but it is recommended that you take a home urine test before booking an appointment source   pharmacysell
what causes childhood obesity,i would need to know the reason and dosage
i have been having bouts of severe stomach pain,i do not know of any studies that show alpha hydryoxy acid products directly cause skin cancer these products can be purchased over the counter or obtained by prescription in a stronger formulation alpha hydroxy acid products are usually used to treat acne wrinkles and to generally improve the appearance of aging skin there are many different types of alpha hydroxy acid products some are applied as a cream while others are used as chemical peels usually done by a dermatologist you should talk to your dermatologist about the basal cell cancer issue to learn whether or not you should continue to use your face cream or not at any rate stay on top of your skin cancer basal cell carcinoma is very common and not usually lethal but it does need to be treated wishing you well
i have problems with platelets i need a surgery to remove the spleen,flu shot side effects seems to be the most likely cause although possibility of laryngitis cannot be over ruled completely i would consider std as the last possibility you should wait for a few days for it to resolve if no improvements are seen consult a er
i woke up with swollen parotid glands,hi yes this is definitely due to lack of exercises more than just physical exercises you need to do more of yoga pranayam and other breathing exercises this will improve your lung breathing capacity and help you with general health immunity as well thanks
what are the complications of having biploar disorder and being pregnant,there is no crystal clear roadmap for women who are bipolar and pregnant that is because few studies have been done on bipolar disorder and pregnancy not enough is known about the risks of untreated bipolar disorder or the risks and benefits of medications and the factors that lead to relapse during pregnancy are not entirely clear the symptoms of bipolar disorder however can worsen during pregnancy pregnant women or new mothers with bipolar disorder have seven times the risk of hospital admissions compared with pregnant women who do not have bipolar disorder a 2007 study on bipolar and pregnancy has shed further light and it has called into question a common belief that pregnancy may have a protective effect for women with bipolar disorder the study followed 89 women through pregnancy and one year after delivery when stopping bipolar medications six months before conception to 12 weeks after women had twice the risk of relapse a 50 risk of recurrence within just two weeks if they stopped suddenly women who had unplanned pregnancies were more likely to stop at once  bipolar symptoms throughout 40 of the pregnancy    or more than four times that experienced by women who continued their bipolar medications
should i not eat spinach if i have osteoporosis,spinach is a nutritious food with many vitamins and minerals including magnesium potassium and vitamin k in addition to calcium and vitamin d these vitamins and minerals are also important for bone health while spinach also contains calcium the calcium is not absorbed well by the body this is because spinach contains oxalates which interfere with calcium absorption some examples of other foods that contain oxalates are beet greens and rhubarb so while you can not count spinach as a good source of calcium it is still nutritious and a good part of a healthy well balanced diet
im pregnant and my blood pressure read 12694 the book that comes with it says its a hypertention measure should i worry i checked it because my hands and feet were swollen and hurt also i have a migraine with it for the past two days i have had bodyaches ion the neck and abdomen,assuming you are an adult fever is often not present with a simple cold fever is common in children but not adults this is really not influenza season right now but of course i do not know what area of the world that you live influenza can definitely cause fever but the absence or presence of a fever is not necessary to make a diagnosis unfortunately i have no way of determining what you have over the internet based solely on your brief posting
herpes cold sore or angular chelitis  this thing appeared on the side of my lip that looks like a blister but is split in the middle on either side of the split there is excess skin and it hurts when i open my mouth when it was closer to healing there seemed to be a yellow crust around it i have never had a herpes cold sore before so it is going to break my heart if i have just gotten the virus it is taken about 2 weeks to heal probably because i messed with it in the beginning never noticed and small blisters though,you are wise to ask this question whenever someone is taking a pain reliever especially a narcotic it is good to consider whether or not an over the counter medication may interact with it i can not tell if you are referring to oxycodone or oxycontin but either way unisom should not interact with it the main ingredient in unisom that makes you sleep is a big whopping antihistamine it is not benadryl diphenhydramine but a relative of that however different over the counter sleep aids may contain a different active ingredient from unisom your best bet is to ask the pharmacist which sleep aid you can safely take with your pain reliever wishing you well
what is eczema,eating fiber rich foods every day will help you remove excess fat much faster than if you are scarfing down refined and processed foods you feel much fuller so you decrease your total calories fiber foods also are slow release energy sources keeping you energized much longer so you can hit the gym or take that walk stick with whole foods like veggies fruits and whole grains to get your fiber fiber will save your life soluble fiber traps bad cholesterol ldl before it is absorbed in the gut reducing your risk for heart disease insoluble fiber shwooshes through your gut cleaning it out and keeping you regular you should try to consume about 30 grams per day and ideally 10 grams at each main meal if you have not been getting enough fiber for a long time then start gradually beginning with about 15 grams per day and building up over time most food sources contain both soluble and insoluble fiber oatmeal whole grain bread cereal and pasta popcorn fruits veggies and beans are great sources of fiber
